City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
182,Saskylakh,RU,2021-09-25 21:48:52,71.9167,114.0833,31.82,90,98,16.71
183,Abha,SA,2021-09-25 21:48:52,18.2164,42.5053,66.02,16,0,0.0
184,Isangel,VU,2021-09-25 21:48:52,-19.55,169.2667,75.31,64,40,6.91
185,Batemans Bay,AU,2021-09-25 21:48:53,-35.7167,150.1833,50.92,65,68,4.83
186,Zigong,CN,2021-09-25 21:48:53,29.3416,104.7769,75.22,91,20,1.9
187,Saint-Francois,FR,2021-09-25 21:48:53,46.4154,3.9054,58.68,100,19,0.0
188,Zabaykalsk,RU,2021-09-25 21:48:54,49.6333,117.3167,53.29,91,100,15.57
189,Suluova,TR,2021-09-25 21:48:54,40.8313,35.6479,49.86,81,0,3.44
190,Umm Lajj,SA,2021-09-25 21:48:54,25.0213,37.2685,82.2,68,3,13.2
191,Trairi,BR,2021-09-25 21:46:33,-3.2778,-39.2689,78.84,80,13,12.64
192,Eureka,US,2021-09-25 21:48:55,40.8021,-124.1637,71.67,78,48,4.0
193,Cap Malheureux,MU,2021-09-25 21:48:55,-19.9842,57.6142,72.09,72,5,5.01
194,Benghazi,LY,2021-09-25 21:48:55,32.1167,20.0667,74.37,64,0,12.71
195,Zhanaozen,KZ,2021-09-25 21:48:56,43.3,52.8,56.57,61,3,11.59
196,Tessalit,ML,2021-09-25 21:48:56,20.1986,1.0114,88.07,9,0,11.59
197,Novozybkov,RU,2021-09-25 21:48:56,52.5396,31.9275,55.13,95,66,12.59
198,Kontagora,NG,2021-09-25 21:48:57,10.3999,5.4695,73.65,90,79,3.67
199,Disa,IN,2021-09-25 21:48:57,24.25,72.1667,79.95,87,98,4.41
200,Teknaf,BD,2021-09-25 21:48:57,20.8624,92.3058,77.72,91,98,6.58
201,Hobart,AU,2021-09-25 21:48:58,-42.8794,147.3294,44.11,78,20,3.0
202,Barrow,US,2021-09-25 21:48:58,71.2906,-156.7887,28.42,80,90,6.91
203,Marsa Matruh,EG,2021-09-25 21:48:58,31.3525,27.2453,71.92,65,4,7.76
204,Vardo,NO,2021-09-25 21:48:59,70.3705,31.1107,46.54,85,48,8.88
205,Leshukonskoye,RU,2021-09-25 21:48:59,64.8989,45.7622,43.57,95,100,6.29
206,Venado Tuerto,AR,2021-09-25 21:48:59,-33.7456,-61.9688,70.79,44,0,10.65
207,Herbrechtingen,DE,2021-09-25 21:48:59,48.6217,10.176,63.36,83,89,3.78
208,Kavieng,PG,2021-09-25 21:49:00,-2.5744,150.7967,83.05,78,57,14.03
209,Emba,KZ,2021-09-25 21:49:00,48.8264,58.1442,59.99,40,77,6.76
210,Tasiilaq,GL,2021-09-25 21:49:00,65.6145,-37.6368,37.56,66,100,10.4
211,Antsohihy,MG,2021-09-25 21:49:01,-14.8796,47.9875,71.94,59,0,10.54
212,Port Shepstone,ZA,2021-09-25 21:49:01,-30.7414,30.455,72.46,70,7,10.65
213,Cherskiy,RU,2021-09-25 21:49:01,68.75,161.3,32.27,97,100,13.31
214,Mogadishu,SO,2021-09-25 21:49:02,2.0371,45.3438,77.72,84,36,17.45
215,Klaksvik,FO,2021-09-25 21:49:02,62.2266,-6.589,54.52,93,100,26.33
216,Lagoa,PT,2021-09-25 21:49:02,39.05,-27.9833,70.52,84,100,8.19
217,Port Moresby,PG,2021-09-25 21:49:03,-9.4431,147.1797,76.42,94,40,3.44
218,Taman,RU,2021-09-25 21:49:03,45.2117,36.7161,55.72,66,89,17.4
219,Monrovia,LR,2021-09-25 21:49:03,6.3005,-10.7969,78.8,84,100,7.99
220,San Policarpo,PH,2021-09-25 21:49:04,12.1791,125.5072,78.26,89,100,3.49
221,Butterworth,MY,2021-09-25 21:49:04,5.3991,100.3638,81.0,87,20,5.01
