City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
239,Kjollefjord,NO,70.9457,27.3465,48.69,76,74,11.3,broken clouds
240,Havre-Saint-Pierre,CA,50.2334,-63.5986,50.09,82,96,13.82,overcast clouds
241,Butaritari,KI,3.0707,172.7902,83.21,75,4,21.88,clear sky
242,Kamenka,RU,51.3223,42.7678,39.33,82,71,7.56,broken clouds
243,Creel,MX,27.75,-107.6333,63.12,46,40,13.87,scattered clouds
244,Simplicio Mendes,BR,-7.8539,-41.9103,84.51,26,52,5.77,broken clouds
245,Isla Mujeres,MX,21.2311,-86.731,86.16,64,20,10.74,few clouds
246,Kahului,US,20.8947,-156.47,87.82,58,40,20.71,scattered clouds
247,Ust-Koksa,RU,50.2696,85.6108,34.59,90,100,1.48,overcast clouds
248,Marzuq,YE,14.4,46.4667,77.92,36,84,7.09,broken clouds
249,Tura,IN,25.5198,90.2201,72.41,91,100,3.58,overcast clouds
250,Shubarkuduk,KZ,49.1447,56.4872,39.94,79,100,12.41,overcast clouds
251,Leon,MX,21.1167,-101.6667,73.81,51,66,6.4,broken clouds
252,Eureka,US,40.8021,-124.1637,69.67,69,16,7.0,few clouds
253,Tommot,RU,58.9564,126.2925,35.87,98,100,4.85,overcast clouds
254,Dalby,AU,-27.1833,151.2667,58.98,89,100,6.02,light rain
255,Ketchikan,US,55.3422,-131.6461,53.58,76,94,10.51,light rain
256,Saskylakh,RU,71.9167,114.0833,21.97,90,100,4.92,overcast clouds
257,Nelson Bay,AU,-32.7167,152.15,64.96,74,99,1.01,overcast clouds
258,Samarai,PG,-10.6167,150.6667,78.94,88,100,16.35,heavy intensity rain
259,Mezen,RU,65.8522,44.24,43.21,96,94,3.33,overcast clouds
260,Roebourne,AU,-20.7833,117.1333,70.92,25,1,9.04,clear sky
261,Tuy Hoa,VN,13.0833,109.3,76.42,92,76,4.12,broken clouds
262,Sakaiminato,JP,35.55,133.2333,69.73,86,98,7.11,overcast clouds
263,Dubbo,AU,-32.25,148.6167,62.73,67,40,9.22,scattered clouds
264,Knysna,ZA,-34.0363,23.0471,54.91,80,96,5.19,overcast clouds
265,Chissamba,AO,-12.1667,17.3333,71.19,44,67,2.59,broken clouds
266,Lebu,CL,-37.6167,-73.65,53.08,70,72,8.86,broken clouds
267,Wagga Wagga,AU,-35.1167,147.3667,57.6,97,100,9.01,light rain
268,Bambanglipuro,ID,-7.95,110.2833,53.6,90,60,3.2,broken clouds
269,Marsabit,KE,2.3284,37.9899,68.58,56,64,16.44,broken clouds
270,Klaksvik,FO,62.2266,-6.589,49.12,78,98,10.42,overcast clouds
271,Westport,US,41.1415,-73.3579,72.09,86,90,1.99,overcast clouds
272,Byron Bay,AU,-28.65,153.6167,66.87,59,100,9.24,overcast clouds
273,Meulaboh,ID,4.1363,96.1285,75.2,90,100,5.37,overcast clouds
274,Myitkyina,MM,25.3833,97.4,72.63,96,79,1.54,broken clouds
275,Puerto Escondido,MX,15.85,-97.0667,85.03,65,75,4.61,broken clouds
276,Teguise,ES,29.0605,-13.564,70.02,68,20,17.27,few clouds
277,Nipawin,CA,53.3668,-104.0009,82.44,30,1,13.8,haze
278,Soria,ES,41.6667,-2.6667,55.0,73,39,4.54,scattered clouds
279,Afrikanda,RU,67.4429,32.7828,45.99,88,61,5.68,broken clouds
280,Cervo,ES,43.6702,-7.4101,62.96,82,64,10.42,broken clouds
281,Rochegda,RU,62.8,43.25,41.34,96,87,2.46,overcast clouds
282,Faanui,PF,-16.4833,-151.75,79.41,73,73,16.98,broken clouds
283,Sunrise Manor,US,36.2111,-115.0731,92.46,15,1,21.85,smoke
284,Sitrah,BH,26.1547,50.6206,86.36,76,1,1.01,clear sky
285,Linxia,CN,35.6003,103.2064,53.64,49,16,4.47,few clouds
286,Grand Forks,US,47.9417,-97.4337,91.78,27,40,17.27,scattered clouds
287,Ibra,OM,22.6906,58.5334,81.14,58,95,3.15,overcast clouds
288,Napoleon,US,41.3923,-84.1252,75.56,55,7,5.08,clear sky
289,Regina,CA,50.4501,-104.6178,90.99,15,89,23.0,overcast clouds
290,Nuuk,GL,64.1835,-51.7216,34.41,80,0,4.61,clear sky
291,Bengkulu,ID,-3.8004,102.2655,75.07,90,95,3.58,heavy intensity rain
292,Labe,GN,11.3182,-12.2833,65.28,92,4,2.64,light rain
293,Waw,SS,7.7029,27.9953,72.16,92,100,4.18,overcast clouds
294,Neuquen,AR,-38.9516,-68.0591,69.69,18,0,9.22,clear sky
295,Bayan,CN,46.0833,127.4,59.68,90,52,9.26,broken clouds
296,Sabha,LY,27.0377,14.4283,78.22,22,0,5.53,clear sky
297,Ariquemes,BR,-9.9133,-63.0408,83.91,56,92,1.52,overcast clouds
298,General Roca,AR,-39.0333,-67.5833,70.2,18,98,19.22,overcast clouds
299,Yerbogachen,RU,61.2767,108.0108,27.3,88,54,5.06,broken clouds
300,Rebrikha,RU,53.0733,82.3408,37.81,84,100,10.58,moderate rain
301,Biryusinsk,RU,55.9634,97.8235,32.43,99,100,2.13,overcast clouds
302,Saldanha,ZA,-33.0117,17.9442,58.89,82,0,23.78,clear sky
303,Guangyuan,CN,32.442,105.823,64.69,95,1,2.48,light rain
304,Sonoita,MX,31.85,-112.8333,89.53,31,0,16.62,clear sky
305,Marshfield,US,44.6689,-90.1718,73.13,46,1,5.75,clear sky
306,Swan River,CA,52.1058,-101.2676,84.67,22,0,14.34,clear sky
307,Flin Flon,CA,54.7682,-101.865,72.32,41,10,12.17,clear sky
308,Hashtrud,IR,37.4779,47.0508,51.58,71,0,4.7,clear sky
309,Aksarka,RU,66.5606,67.7975,36.09,92,100,3.56,overcast clouds
310,Moranbah,AU,-22.0016,148.0466,70.75,63,34,17.67,scattered clouds
311,Zhigansk,RU,66.7697,123.3711,29.93,88,20,20.38,few clouds
312,Nadym,RU,65.5333,72.5167,30.52,84,0,5.44,clear sky
313,Salalah,OM,17.0151,54.0924,80.24,82,85,2.15,overcast clouds
314,Saint-Joseph,RE,-21.3667,55.6167,70.16,77,38,10.76,scattered clouds
315,Natal,BR,-5.795,-35.2094,79.45,73,75,11.5,broken clouds
316,Grand Gaube,MU,-20.0064,57.6608,72.37,67,53,8.99,broken clouds
317,Ordzhonikidze,KZ,52.4411,61.7408,36.99,80,100,18.45,overcast clouds
318,Taoudenni,ML,22.6783,-3.9836,95.07,9,2,13.4,clear sky
319,Lunca,RO,43.8333,24.7667,62.55,62,46,16.15,scattered clouds
320,Kyren,RU,51.6828,102.1408,28.24,82,62,1.21,broken clouds
321,Tiznit,MA,29.5833,-9.5,72.28,41,2,1.54,clear sky
322,Turbat,PK,26.0023,63.044,90.63,41,69,3.29,broken clouds
323,Isangel,VU,-19.55,169.2667,76.17,67,59,13.31,broken clouds
324,Innisfail,AU,-17.5333,146.0333,75.96,82,89,6.04,overcast clouds
325,San Patricio,US,28.017,-97.5169,95.09,54,88,18.23,moderate rain
326,Guna,IN,24.65,77.3167,74.52,90,30,8.93,scattered clouds
327,Haicheng,CN,40.8516,122.7475,60.57,93,6,4.72,clear sky
328,Port Augusta,AU,-32.5,137.7667,60.71,73,0,6.31,clear sky
329,Koumac,NC,-20.5667,164.2833,75.09,65,14,3.58,few clouds
330,Brasilia,BR,-15.7797,-47.9297,79.72,39,40,9.22,scattered clouds
331,Churapcha,RU,62.0025,132.4325,29.48,59,0,8.75,clear sky
332,Tamuin,MX,21.9833,-98.75,88.56,61,53,7.02,broken clouds
333,Rongcheng,CN,30.634,117.8517,73.62,97,100,4.25,overcast clouds
334,Tovarkovskiy,RU,53.6822,38.2092,37.11,86,45,6.8,scattered clouds
335,Stornoway,GB,58.2093,-6.3865,54.93,87,20,6.91,few clouds
336,Lompoc,US,34.6391,-120.4579,81.21,53,1,17.27,clear sky
337,Bathsheba,BB,13.2167,-59.5167,82.17,74,23,7.96,few clouds
338,Svetlaya,RU,46.5389,138.3297,59.34,90,18,5.75,few clouds
339,Kamina,CD,-8.7386,24.9906,68.59,62,9,3.24,clear sky
340,Beloha,MG,-25.1667,45.05,71.33,71,27,5.57,scattered clouds
341,Faya,SA,18.3851,42.4509,68.52,45,73,3.6,broken clouds
342,West Wendover,US,40.7391,-114.0733,61.81,20,1,18.41,clear sky
343,Lake Ridge,US,38.6879,-77.2978,78.21,72,75,4.61,broken clouds
344,Inyonga,TZ,-6.7167,32.0667,76.44,39,82,5.37,broken clouds
345,Korla,CN,41.7597,86.1469,66.83,23,24,5.64,few clouds
346,Iralaya,HN,15.0,-83.2333,86.09,75,17,6.62,few clouds
347,Saint John,CA,45.2727,-66.0677,60.19,90,100,1.32,overcast clouds
