City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
577,Pachino,IT,78.84,clear sky,36.7186,15.0907,Pietra Bianca B&B
579,Rangapara,IN,75.09,overcast clouds,26.8167,92.65,Bidhan
582,Port Moresby,PG,78.82,overcast clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
583,Sabara,BR,79.77,overcast clouds,-19.8864,-43.8067,Depto Rede Vencer
586,Santa Cruz De Tenerife,ES,75.42,few clouds,28.4682,-16.2546,Hotel Silken Atlántida Santa Cruz
587,Porto Novo,BJ,77.95,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
588,Alexandria,EG,77.16,clear sky,31.2156,29.9553,Royal Crown Hotel
589,Katherine,AU,80.92,broken clouds,-14.4667,132.2667,Pine Tree Motel
592,Alyangula,AU,80.08,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
598,Gharghoda,IN,74.34,overcast clouds,22.1667,83.35,Gokul Naik
600,Acapulco,MX,84.72,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
602,Guanay,BO,84.83,broken clouds,-15.4975,-67.8797,Hotel Ritzy
606,Nouadhibou,MR,78.13,clear sky,20.931,-17.0347,El Medina
